19:52:28 INFO    Config resolved from SKILL_DIR/config.yaml (C:\Users\danie\ws\Skills\video-intel-issue42\config.yaml)
19:52:31 WARNING Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
19:52:33 INFO    [seankochel] Sean Kochel
19:52:33 INFO      Selective mode: playlists=['Agent Skills'], keywords=['ux', 'design', 'claude code', 'mcp', 'coding', 'agents', 'skills']
19:52:33 INFO        Resolved playlist: "Agent Skills" -> PLqq3-KsIOgJodBoySb1W6tA32ncKtZasd (Agent Skills)
19:52:33 INFO        Playlist "Agent Skills": 7 videos
19:52:33 INFO        Keyword search: "ux" (~400 quota units)
19:52:33 INFO        Keyword "ux": 35 results
19:52:33 INFO        Keyword search: "design" (~400 quota units)
19:52:34 INFO        Keyword "design": 61 results
19:52:34 INFO        Keyword search: "claude code" (~400 quota units)
19:52:34 INFO        Keyword "claude code": 67 results
19:52:34 INFO        Keyword search: "mcp" (~400 quota units)
19:52:35 INFO        Keyword "mcp": 30 results
19:52:35 INFO        Keyword search: "coding" (~400 quota units)
19:52:36 INFO        Keyword "coding": 175 results
19:52:36 INFO        Keyword search: "agents" (~400 quota units)
19:52:37 INFO        Keyword "agents": 70 results
19:52:37 INFO        Keyword search: "skills" (~400 quota units)
19:52:38 INFO        Keyword "skills": 59 results
19:52:39 INFO        Recent uploads (since 2025-04-26): 159 videos, 10 new
19:52:39 INFO      Total: 198 unique videos after dedup
19:54:30 INFO      Skipped 72 Shorts (skip_shorts=true).
19:54:35 INFO      Found 126 videos, 5 new.
19:54:35 INFO        2025-08-07 - Build Your First SaaS App - Complete Solo Founder Blueprint (Part 1)
19:54:35 INFO        2026-02-02 - The Clawdbot Hype Is Lying to You
19:54:35 INFO        2026-01-14 - I used these 5 books to go from zero customers to $20K/month
19:54:35 INFO        2025-10-28 - How Solo AI Builders Hit $20K MRR (The 6 Things They All Do)
19:54:35 INFO        2025-08-30 - 7-Steps To Getting More Users (Vibe Coder's Guide)
19:54:35 INFO    Done.
